Leading.proteins.Positions.within.proteins;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d5_01;log2 N2_d5_02;log2  N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value N2_d15_N2_d5; Student's T-test q-value N2_d15_N2_d5; Student's T-test Difference N2_d15_N2_d5;Student's T-test Test statistic N2_d15_N2_d5;Sign p-val: 0.05 
Q3S1I9(240);21,5255;19,9551;20,3572;20,8448;21,6606;21,3918;20,915;21,4468;0,932871;0,0557712;-0,682891;-1,83168;
G5EDF9(7);16,5769;19,2307;21,0463;19,3424;22,3729;22,3957;21,4728;22,4389;1,77368;0,00820862;-3,12098;-3,27922;+
G5EDF9(13);23,341;21,9295;23,7218;24,5733;22,3368;21,5555;21,7559;21,8566;1,40975;0,0186093;1,51523;2,63253;+
G5EDF9(521);19,909;20,7687;21,3029;18,8524;21,2489;20,283;21,2956;19,8853;0,308791;0,337467;-0,469971;-0,733084;
A0A0K3AQS9(98);20,8617;19,5611;17,9838;21,4556;21,9577;20,3436;19,9513;21,6882;0,512185;0,180075;-1,01968;-1,11508;
A0A0K3AQS9(58);22,9261;21,746;22,1229;21,9687;23,824;24,2237;24,7437;25,3436;2,86413;0,00104571;-2,34282;-5,61072;+
A0A0K3AQS9(173);25,3449;25,5837;26,722;24,2789;25,9499;27,0139;26,7184;26,2778;0,925938;0,0570734;-1,0076;-1,82016;
A0A0K3AQS9(21);19,2675;19,9202;21,1537;19,4419;23,6729;23,1417;24,9478;24,9932;3,2834;0,000539419;-4,2431;-6,73741;+
A0A0K3AQS9(160);20,1862;20,9037;20,0813;19,2361;24,0717;23,4302;22,9369;23,4216;3,73245;0,000332226;-3,36326;-8,13689;+
A0A0K3AQS9(122);25,1908;23,3092;23,1749;26,0765;26,349;25,7396;28,6875;27,9636;1,49116;0,015593;-2,74709;-2,77349;+
A0A0K3AQS9(114);19,098;19,5447;18,8981;20,5491;25,3626;25,5536;25,8357;26,6962;4,98032;0;-6,33955;-13,4504;+
A0A0K3AQT4(28);20,4802;18,4788;21,3274;21,0578;21,7925;21,4862;20,6125;21,7089;0,748591;0,0912611;-1,06399;-1,52375;
A0A0K3AQT4(76);18,2384;20,1402;20,3167;19,8738;21,2213;20,6539;21,3595;21,6727;1,63898;0,0109596;-1,58458;-3,03457;+
A0A0K3AQT4(15);25,0909;25,2353;24,7327;23,3769;26,9802;27,5772;24,8865;26,698;1,43912;0,0176112;-1,92653;-2,68318;+
A0A0K3AUF2(802);23,4842;24,3237;24,7313;27,0153;24,6033;26,5485;25,5014;26,25;0,427659;0,23218;-0,837147;-0,961259;
A0A0K3ARB5(19);18,6965;17,5702;18,7603;19,4817;21,0321;20,6476;20,909;19,3567;1,82357;0,00753111;-1,85912;-3,37166;+
A0A0K3ARB5(20);21,1914;20,9461;20,577;20,3822;21,3307;20,4895;21,1832;21,6788;0,608065;0,137142;-0,396383;-1,28377;
A0A0K3ARB5(6);19,7377;19,6367;19,8774;19,9885;22,6;21,0657;21,8268;22,8644;2,82546;0,00109749;-2,27912;-5,51441;+
A0A0K3AS90(1163);19,667;20,9756;19,7515;18,3044;21,7563;20,9889;21,1133;20,1818;1,0973;0,0382695;-1,33545;-2,10496;+
A0A0K3AWX1(391);26,2291;24,6718;23,6286;23,842;22,1248;23,6775;23,6823;22,4424;1,18149;0,0310884;1,61112;2,24554;+
A0A0K3AWX1(378);20,8702;19,9484;17,7743;20,3774;21,9468;19,9293;21,1922;21,8962;0,918796;0,0577163;-1,49858;-1,80829;
A0A0K3AVS5(10);19,427;20,3006;18,7168;18,6917;23,465;22,3017;23,5394;22,8507;3,64974;0,000291545;-3,75518;-7,86235;+
A0A0K3AW96(1148);21,8962;22,2889;22,2839;28,1374;23,5389;22,7835;23,635;22,5729;0,128036;0,630638;0,518997;0,341081;
A0A0K3AW96(1306);18,9513;19,1075;21,3324;20,6168;24,9522;23,5613;23,0364;22,5249;2,3868;0,00241945;-3,51673;-4,49999;+
A0A0K3AW96(2799);24,1065;24,0419;22,2003;22,2459;24,9466;23,9871;23,9962;24,7973;1,13324;0,0352284;-1,28315;-2,16487;+
A0A0K3AW96(2725);22,0646;22,4318;21,0279;24,6043;23,8979;23,0221;24,3683;23,2894;0,659255;0,117537;-1,11227;-1,37199;
A0A0K3AWB0(580);25,6774;25,3331;25,09;26,0825;24,8829;24,2192;25,0415;24,1295;1,67339;0,0100702;0,977427;3,09642;+
A0A0K3AWB0(588);24,3862;23,1534;20,8381;20,9396;21,3795;22,2431;24,3223;24,1208;0,248144;0,411778;-0,687117;-0,609169;
A0A0K3AWM6(430);25,9493;25,6012;25,5754;23,1712;26,7002;26,3703;23,8664;25,3843;0,225296;0,444985;-0,506007;-0,560775;
A0A0K3AXE0(11);21,0886;21,4999;20,7911;20,251;21,5984;20,8447;21,1628;20,043;0,00362008;0,988469;-0,00456047;-0,0108445;
A0A0K3AXT9(687);24,5488;24,5753;24,4112;25,4191;23,091;22,314;21,3517;22,2208;2,97353;0,000808777;2,49422;5,88978;+
A0A0K3AXT9(697);26,5519;23,7382;23,6251;26,7241;23,1995;23,1103;22,5907;23,4123;1,26559;0,0262263;2,08162;2,38696;+
A0A0K3AXT9(677);24,0563;23,932;20,6189;24,8547;21,0903;20,3276;20,5;21,1932;1,44273;0,0175448;2,58771;2,68942;+
A0A0K3AXT9(683);26,2573;25,6321;28,665;26,7989;24,9417;22,9695;24,0447;25,0233;1,72974;0,0090109;2,59353;3,19864;+
A0A0K3AY44(449);19,5968;20,9882;20,0661;16,4617;21,718;20,6425;21,9202;22,8842;1,22413;0,0288021;-2,51301;-2,3171;+
A0A0K3AY44(442);20,3783;19,1438;21,3597;19,1152;21,8112;21,4014;20,9117;20,0854;0,797554;0,078976;-1,0532;-1,60606;
A0A0K3AY85(173);26,0559;26,5591;24,9241;25,4423;24,8996;24,8557;22,1453;23,861;1,30305;0,0242571;1,805;2,45034;+
A0A0K3AY85(152);23,5871;23,9683;25,3567;24,4127;21,2685;20,0667;21,3877;21,8274;3,00031;0,000821656;3,19367;5,95962;+
A0A0K3AYE8(172);24,4572;24,8878;25,6251;27,91;27,9055;27,0344;27,5142;26,667;0,982368;0,0503181;-1,56022;-1,9139;
A0A0M7RFG7(49);25,3281;26,0452;24,9236;26,9336;21,2617;21,7142;20,3843;21,4964;3,89087;0,000392157;4,59351;8,68575;+
A0A0S4XRR1(215);24,5958;24,8698;26,0051;27,4777;24,4258;22,9297;24,3081;23,7522;1,36048;0,0210737;1,88312;2,54807;+
A0A0T7CIX3(487);22,9383;22,0394;22,2281;23,7173;21,6439;21,5395;19,9315;21,6258;1,46558;0,0163163;1,54554;2,72901;+
A0A0T7CIX3(136);19,4471;20,2607;17,7943;21,2995;21,3052;20,7546;21,0599;21,2222;0,942307;0,0545909;-1,38509;-1,84736;
A0A0T7CIX3(543);19,5696;19,6583;19,65;20,2479;21,269;20,3956;20,863;22,8918;1,4985;0,0153353;-1,57343;-2,78629;+
A0A131MBQ6(32);20,793;20,0731;19,8897;20,7316;24,9599;26,4599;24,8678;25,0134;4,51463;0;-4,95341;-11,1791;+
A0A131MCJ5(53);19,6294;19,1603;19,5919;20,5718;22,3347;23,0865;22,1952;23,197;3,55521;0,00026455;-2,96501;-7,5582;+
A0A131MD51(18);23,4268;22,3253;22,5068;23,375;23,9651;23,6088;24,0779;23,4445;1,43687;0,0176851;-0,865623;-2,6793;+
O16293(195);19,0945;21,2773;19,7128;19,6396;21,9341;19,9444;21,4413;20,7045;0,841789;0,0704924;-1,07505;-1,68004;
O02147(540);21,308;20,1025;21,1362;21,2724;22,8932;22,4723;23,4205;23,8374;2,74505;0,00109044;-2,20108;-5,31797;+
F3Y5Q3(84);21,9463;17,9953;20,3673;20,0127;20,6423;21,2153;20,9879;21,7316;0,594907;0,141815;-1,06386;-1,26091;
Q9N350(17);17,9309;19,3761;19,6897;21,1699;23,3747;22,079;22,1664;22,4012;2,18275;0,00392825;-2,96368;-4,07143;+
Q9N350(179);25,5189;23,3498;23,9741;25,3303;24,1499;24,1082;22,3118;24,3778;0,522668;0,174595;0,806338;1,13378;
A0A1N7SYR3(844);19,2228;20,559;18,641;19,5258;20,8211;20,3356;21,5111;21,2207;1,68712;0,00992929;-1,48497;-3,1212;+
A1IMB7(151);19,5254;20,1955;21,6526;20,884;23,5733;21,7845;22,8928;22,3574;1,89652;0,00674096;-2,08764;-3,50875;+
A3QMB7(63);21,3972;18,4257;19,7594;20,2966;19,9455;20,6474;20,1293;21,8976;0,39697;0,255254;-0,68522;-0,903874;
J7SF86(65);20,7093;18,3312;19,9624;19,0831;20,7098;21,5219;20,5711;21,7545;1,46013;0,0166358;-1,6178;-2,71955;+
U4PRJ1(143);17,6405;20,0444;20,1618;19,7342;21,8276;20,8291;20,0543;20,3575;0,997428;0,048897;-1,37189;-1,93891;+
A5JYX4(101);19,3751;18,7574;18,2992;21,2439;21,5185;20,5444;20,9012;21,6549;1,325;0,0227532;-1,73584;-2,4876;+
A5JYX4(81);26,0653;24,4665;24,5951;22,2333;23,8395;23,0608;23,9176;25,3203;0,124328;0,639741;0,305486;0,332175;
A5JYX4(77);19,6341;18,7559;17,1171;19,9607;20,7993;19,6805;20,9888;21,5947;1,34823;0,0219082;-1,89891;-2,52718;+
A5JYX4(130);20,3104;19,1644;20,2899;20,6981;21,698;21,3442;21,4864;21,7275;2,25625;0,00334402;-1,44832;-4,22296;+
A5JYX4(131);19,9937;19,1796;18,7537;19,0696;21,0697;20,5825;19,883;20,5889;1,92528;0,00665743;-1,28191;-3,56348;+
A5PEY0(153);24,4365;24,4373;22,4575;22,6709;27,4033;26,922;25,801;26,8877;2,64809;0,00125659;-3,25295;-5,08763;+
I2HA81(362);26,4672;26,8578;25,2635;27,0423;26,6272;25,9055;27,2079;26,4594;0,109317;0,675316;-0,142312;-0,295641;
A5Z2W7(48);19,471;19,3592;17,832;17,7603;20,8655;20,101;21,3691;21,1898;2,23129;0,0035572;-2,27573;-4,17116;+
A5Z2W7(56);19,3769;19,325;21,6318;20,2849;24,4835;24,6633;24,3086;24,2365;3,62796;0,000283286;-4,2683;-7,79138;+
A6PVA5(9);20,6991;21,6252;19,4246;21,1426;21,99;22,4947;22,7624;22,5354;1,86455;0,00705761;-1,72275;-3,44839;+
Q20621(425);23,3649;21,8957;23,5654;23,609;21,6043;20,7484;20,4864;21,8316;2,00646;0,00565728;1,94107;3,72;+
A7DT41(137);20,5935;21,7645;19,3712;19,1424;19,6347;21,7686;21,4388;20,9624;0,425323;0,23387;-0,733243;-0,956923;
A7DT41(240);22,4544;21,8561;19,5834;24,9286;21,7511;20,3296;20,3976;20,8546;0,558684;0,157217;1,37242;1,19753;
A7DT41(165);17,7756;20,1566;18,4736;21,3917;24,5874;23,6456;22,4487;24,0283;2,39719;0,00223853;-4,22814;-4,5225;+
A7DT41(223);19,091;17,5619;18,9025;20,811;21,5633;20,72;20,9932;21,6218;1,64127;0,0108956;-2,13301;-3,03867;+
A7DT41(158);19,1749;18,4957;18,0406;18,3972;24,3909;24,2133;23,16;25,5037;4,4326;0;-5,78988;-10,818;+
A7DT41(262);20,5073;20,3168;21,9282;22,0797;24,1986;24,159;23,8291;25,9958;2,58981;0,00135491;-3,33761;-4,95248;+
Q9XWW2(238);19,2066;20,0383;21,0622;20,329;21,8746;21,5367;20,9151;21,1353;1,47728;0,0160167;-1,20644;-2,74933;+
Q9XWW2(276);23,1948;24,4294;22,7508;22,6426;21,433;21,69;21,3709;21,6366;2,2123;0,00367854;1,72177;4,13198;+
A7LPD6(582);18,926;20,0805;18,5009;19,5047;21,6743;19,8499;20,6275;20,6893;1,54522;0,0136065;-1,45721;-2,86816;+
A7LPD6(545);26,0879;24,9093;24,6182;25,1035;24,8229;24,2219;24,4056;24,2488;1,13731;0,034993;0,754914;2,17167;+
A7LPE6(329);20,3762;19,4208;20,2701;21,31;21,5082;20,64;20,72;21,4235;0,808177;0,0766453;-0,728653;-1,62385;
Q5FC71(99);24,7144;23,6264;24,8191;26,0258;20,5514;21,6184;20,6376;21,4186;3,26227;0,000527383;3,73993;6,67674;+
Q5FC71(87);24,6505;24,6861;24,9436;24,4827;25,0205;24,5169;25,2637;24,6008;0,341192;0,305496;-0,159745;-0,796978;
Q5FC71(50);26,0837;25,0074;23,2823;23,3559;25,4537;24,8747;25,349;26,1034;0,673963;0,113069;-1,01288;-1,39715;
Q5FC71(63);25,5513;25,8081;27,8173;23,9464;29,3894;25,8352;26,9694;28,0083;0,802014;0,0779644;-1,76979;-1,61353;
Q5FC71(64);32,2679;33,0049;29,3953;29,1028;31,8317;31,9517;32,0767;32,8714;0,570032;0,152259;-1,24013;-1,21746;
Q5FC71(74);17,368;19,1597;20,3166;20,673;21,8161;21,795;21,4124;21,324;1,57674;0,0128206;-2,20756;-2,92377;+
A8WFH7(312);25,063;23,6007;22,0982;25,3421;24,3507;24,0027;24,0837;23,2815;0,0429059;0,858955;0,0963407;0,123257;
A8WFH7(313);25,7008;24,2427;25,4262;25,9514;21,6912;21,455;21,1615;20,8753;4,15261;0;4,03451;9,66375;+
A8WFH7(322);24,6478;24,9616;23,6429;24,1458;25,4484;24,5444;25,3189;25,973;1,2446;0,0277602;-0,971677;-2,35155;+
H2KYH9(63);19,3879;20,8717;19,7479;19,0681;20,856;19,8511;21,1275;21,5647;1,04583;0,0439732;-1,08092;-2,01932;+
A8WHP8(79);24,0634;23,4967;23,0104;24,4816;25,9795;23,7884;24,1989;25,6944;0,930805;0,0561517;-1,15228;-1,82825;
A8WHP8(57);17,1354;20,8986;20,093;20,5329;21,4067;20,6294;20,3271;21,3441;0,677274;0,111986;-1,26183;-1,4028;
A8WHP8(68);21,3205;20,2522;20,2152;19,3479;20,6801;20,7892;20,8094;21,5652;0,733078;0,0950072;-0,677035;-1,49756;
A8WHP8(347);20,9376;20,4717;20,1587;20,062;20,5494;21,4381;20,9353;21,7761;1,20854;0,0297849;-0,767228;-2,29091;+
A8WHP8(348);24,5639;23,7705;23,2198;25,8315;20,6053;21,1263;21,0482;20,5405;3,01516;0,000770227;3,51636;5,99863;+
A8WHP8(181);20,4907;19,6433;20,3711;19,3644;21,6531;21,7826;21,1732;20,804;2,09876;0,00479113;-1,38585;-3,90196;+
A8WHP8(154);21,0831;19,973;19,809;20,0161;27,3389;24,6685;24,4938;25,1839;3,45582;0,000351544;-5,20096;-7,24907;+
A8WHP8(295);23,7258;23,0494;24,1707;24,1196;19,8402;21,3724;20,8171;21,6808;2,98335;0,00082035;2,83876;5,91533;+
A8WHP8(297);20,4522;19,4025;21,5374;19,0613;20,9013;20,9918;20,9498;21,8694;0,889225;0,0618661;-1,06474;-1,7591;
A8WHP8(218);21,5143;19,4221;18,579;17,8617;21,6727;20,885;21,2466;21,206;1,25258;0,0270517;-1,90828;-2,365;+
A9UJN7(555);23,5053;23,7493;23,0876;21,2754;23,6844;22,0823;21,9277;22,9472;0,13262;0,620755;0,243981;0,352029;
A9UJN7(562);19,2311;20,6968;18,6077;19,3129;21,3487;20,1665;21,3505;21,8295;1,63483;0,0111651;-1,71166;-3,02715;+
A9UJP1(38);21,3933;19,4812;18,0198;17,034;21,7495;21,4073;20,976;21,7883;1,38183;0,0198389;-2,4982;-2,5846;+
A9UJP1(71);19,2506;20,6364;20,4422;19,6897;22,4597;23,5879;23,175;23,6967;3,54662;0,00025974;-3,22511;-7,53106;+
A9UJP1(57);21,3871;21,2699;20,2688;21,9666;22,7035;22,3939;20,4529;21,9649;0,488963;0,192952;-0,65574;-1,07337;
A9UJP1(73);25,6334;26,8699;24,638;23,9589;22,8473;21,9395;23,1153;22,7369;2,06559;0,0050602;2,6153;3,83606;+
A9Z1K9(338);21,5394;23,5686;23,0814;24,5124;19,9231;20,6072;20,2105;21,8903;1,79731;0,0080988;2,51768;3,32287;+
B0M0L8(154);25,3746;24,7047;25,5014;22,9531;25,0669;24,6252;24,1689;25,7503;0,152263;0,578283;-0,269387;-0,398198;
B0M0L8(179);24,8394;24,8236;23,7881;25,6991;26,4042;26,784;27,2719;26,8728;2,50591;0,00169432;-2,04568;-4,76213;+
B0M0L8(35);21,5699;21,4254;18,283;17,4387;21,771;21,5422;20,5958;20,3997;0,589271;0,144228;-1,3979;-1,25109;
B0M0L8(98);23,7064;23,9818;24,5245;24,5644;21,6254;21,426;19,2773;20,1796;3,03066;0,000702791;3,56718;6,03953;+
B0M0N4(102);22,921;23,0128;23,1922;22,0914;21,5457;20,9462;20,6301;21,7356;2,37821;0,00240969;1,58993;4,48144;+
B0M0N4(3);24,8491;24,2209;23,299;23,6631;24,3545;24,1015;24,2058;24,8165;0,431504;0,229734;-0,361582;-0,968385;
B0M0N4(88);20,8989;20,4911;20,9516;19,9531;21,8675;21,4405;21,0146;21,0157;1,31395;0,0233689;-0,760897;-2,46883;+
B2D6M4(494);25,0242;24,7169;22,3951;25,4842;26,2487;26,0746;26,1457;25,9289;1,3029;0,0242438;-1,69437;-2,45009;+
B2D6M4(499);20,3312;18,7969;18,3435;20,3708;20,7393;20,1756;20,1562;20,8222;0,93463;0,055494;-1,01272;-1,83461;
B2D6P1(119);19,6455;19,1665;20,5828;19,0339;21,3708;20,4166;21,3986;21,5525;1,95349;0,00617445;-1,57745;-3,6175;+
B2D6P1(97);20,9456;18,1367;19,7739;19,7587;23,9889;21,1143;22,8276;23,5128;2,02542;0,00553571;-3,2072;-3,75703;+
B3CKG1(24);25,5169;24,6765;24,299;25,4706;20,8366;21,7237;21,4584;21,8401;4,08563;0;3,52606;9,40461;+
B3WFT8(10);18,8906;21,6798;19,3382;21,1018;23,8234;24,3407;21,4686;22,4335;1,58718;0,0124535;-2,76396;-2,94227;+
E1B6S9(25);18,5055;19,5159;20,471;20,5876;20,6909;21,0804;20,911;21,741;1,32981;0,0226392;-1,33581;-2,49579;+
G5EC65(1032);20,0137;18,961;20,0984;20,9006;21,3563;21,128;20,5632;21,017;1,25582;0,0270048;-1,0227;-2,37046;+
B3WFW7(70);21,6492;20,9017;20,363;19,6692;20,8087;21,4767;20,661;20,7372;0,24348;0,418134;-0,275149;-0,599374;
B3WFY5(28);20,1471;19,9224;20,5159;20,0643;25,0722;24,9864;24,7046;24,418;6,43775;0;-4,63289;-23,7592;+
B3WFY5(29);20,6087;19,3633;18,5213;19,5588;25,6881;24,9888;24,1979;25,6228;4,27964;0;-5,61139;-10,1728;+
B3WFY5(30);20,3188;20,6144;18,0508;19,5831;25,0238;23,2217;22,8008;24,0372;2,80998;0,00108093;-4,12909;-5,47621;+
B5BM23(908);24,6554;28,001;26,9035;24,9911;23,2426;22,4601;22,0897;21,8175;2,33174;0,00279803;3,73524;4,3819;+
B5U8N2(48);20,9275;18,458;19,2809;19,8195;21,2931;21,1508;20,4474;19,8255;0,859176;0,0671624;-1,05772;-1,70905;
B5U8N2(360);18,5891;19,3945;18,1408;19,2951;24,4357;23,3494;25,0926;25,4901;4,32112;0;-5,73704;-10,3442;+
B5U8N2(491);20,2823;22,04;22,2431;20,3698;21,2548;20,1523;20,9375;21,2505;0,230094;0,437455;0,334986;0,571024;
B6VQ78(562);20,4379;21,6183;19,0797;21,4703;24,1792;21,6598;22,4392;23,7967;1,53713;0,0140655;-2,3672;-2,85393;+
B6VQ78(569);20,8038;20,1511;20,7912;16,8367;21,911;20,9375;19,6359;19,6854;0,352552;0,293985;-0,896744;-0,819048;
B6VQ78(172);24,3378;23,3053;24,5415;24,1716;23,041;23,199;23,8769;23,2785;1,18943;0,0308451;0,740206;2,25885;+
B6VQ78(176);19,6729;20,173;19,3842;21,3401;21,4422;21,7248;20,7787;21,7891;1,41393;0,0184525;-1,29117;-2,63973;+
D9PTN8(403);18,6103;21,5009;19,9923;20,8981;20,4434;21,1005;20,4689;20,7574;0,284109;0,364349;-0,442124;-0,683387;
B7WN71(239);21,3051;20,4612;21,3318;20,9079;21,6426;21,3774;22,014;22,5013;1,49085;0,0155836;-0,88229;-2,77296;+
B7WN95(52);18,6339;18,9948;20,5597;19,0219;25,54;25,4733;23,0685;23,5677;3,2476;0,000516899;-5,10979;-6,63489;+
B7WNA1(64);18,9649;19,6399;16,1957;20,7917;21,9873;20,5899;20,9067;21,6393;1,22418;0,0288172;-2,38275;-2,31719;+
B9ZSG9(872);19,2492;21,4031;20,1159;21,6253;23,123;23,9696;22,4336;22,6807;2,02439;0,00553122;-2,45339;-3,755;+
C1P636(683);19,3069;20,02;20,2565;18,1938;28,6917;28,3212;27,399;28,6877;5,41079;0;-8,83061;-15,9309;+
C1P636(727);19,9231;20,8242;19,1974;20,7405;23,4633;22,0191;22,4369;24,013;2,4819;0,00172228;-2,8118;-4,70854;+
C1P636(864);29,0672;29,0811;26,665;28,3934;27,8327;27,0434;26,8239;27,0193;0,935788;0,0554414;1,1219;1,83653;
C1P636(741);24,2992;24,5216;22,8176;21,8888;25,2971;24,2513;24,2115;25,242;1,0186;0,0467007;-1,36865;-1,97408;+
C1P636(104);23,1656;24,346;23,0557;21,3466;21,7011;20,6463;20,9351;20,9927;1,56762;0,0130533;1,90966;2,90764;+
C6KRI9(366);20,5404;19,9961;19,447;21,0194;19,4767;21,1637;20,9227;20,3708;0,17946;0,521569;-0,232722;-0,460294;
C6KRJ1(158);25,8227;24,1202;22,8888;23,3619;24,4959;25,1803;24,5876;24,9174;0,519191;0,176646;-0,74689;-1,12758;
C6KRJ1(190);20,4345;20,0403;21,2073;19,0621;20,3136;19,3152;21,1426;21,6047;0,246979;0,413271;-0,407975;-0,606727;
C6KRL2(4);18,5006;18,7205;21,3008;19,9102;20,7115;19,9717;20,3784;21,3875;0,684257;0,109766;-1,00423;-1,41471;
C6KRL2(14);23,4956;24,7054;24,6075;27,8132;24,9609;23,8074;24,1593;25,5308;0,214585;0,461497;0,540843;0,537719;
C6KRL2(18);19,3605;18,5214;20,1183;21,3487;20,601;21,7613;20,2862;21,7961;0,901067;0,0602747;-1,27391;-1,77881;
C6KRN1(3);20,1329;17,7984;19,8138;19,1514;21,8475;21,0194;21,1391;21,2472;2,04976;0,00526073;-2,08918;-3,80481;+
C6KRN1(24);20,8556;18,1967;20,8979;20,3967;20,8672;22,2583;22,1751;21,6872;1,22646;0,028554;-1,66022;-2,32102;+
C7GIK1(69);23,5984;23,4143;23,2184;24,3659;24,1429;24,7102;24,3196;25,0001;1,51908;0,0146266;-0,893914;-2,82228;+
D0IMZ5(2153);19,2979;19,2886;19,6966;19,6906;21,4059;21,4571;20,162;20,2933;1,9636;0,00608791;-1,33614;-3,63697;+
D0IMZ5(269);19,5925;16,6559;21,1961;19,1623;21,0414;21,0617;20,7607;21,7131;1,07784;0,0406061;-1,99251;-2,07256;+
D0PV95(599);18,8704;21,7591;20,52;18,4742;19,8041;20,6465;20,9017;21,2715;0,401815;0,252194;-0,750032;-0,912997;
D0Z5P0(53);20,5393;20,9306;21,6536;21,1374;23,7733;23,368;22,1273;23,2128;2,55802;0,0015613;-2,05511;-4,87978;+
D0Z5P0(541);20,1201;21,1421;19,0406;18,0569;21,5469;21,2464;19,8034;20,8392;0,825102;0,0727163;-1,26907;-1,65217;
D0Z5P0(470);19,8864;19,7668;21,1806;16,021;23,0573;21,939;21,0128;21,549;1,18025;0,0311673;-2,67587;-2,24347;+
Q22832(234);24,0439;23,8433;25,3622;24,9494;25,3912;23,9264;22,2568;24,643;0,268103;0,384798;0,495368;0,650635;
Q22832(235);19,7646;17,9543;20,127;21,2347;21,8129;20,9894;21,229;21,6336;1,23156;0,0282758;-1,64608;-2,3296;+
Q22832(492);25,3624;25,2572;25,1702;23,4636;25,357;24,5592;24,4791;24,4851;0,0665091;0,789822;0,0932631;0,186755;
Q8WQB8(183);18,4305;20,9784;19,6773;20,6198;21,8987;22,5055;23,1307;21,6378;1,93849;0,00656744;-2,36667;-3,58872;+
D3NQB5(149);23,4123;24,1932;22,8003;21,5;21,4958;20,9836;21,5373;21,1974;1,5444;0,0136402;1,67292;2,86671;+
D3YT77(49);19,3097;18,3441;18,0231;20,7098;21,9146;21,4443;20,5281;21,4169;1,80223;0,00799716;-2,2293;-3,33198;+
D3YT77(57);21,7809;22,3597;22,0871;25,3584;21,9542;21,7244;20,4784;20,969;0,914948;0,0581484;1,61503;1,80189;
D4YWC3(77);23,8583;21,5727;23,4534;24,4968;22,8048;25,0214;23,4421;23,3507;0,149672;0,584089;-0,309439;-0,392175;
D4YWC3(78);20,9687;18,2309;18,6762;20,0852;24,2399;22,7062;25,1807;25,2217;2,86455;0,00104721;-4,84687;-5,61178;+
