Leading.proteins.Positions.within.proteins;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value eat2_d15_N2_d15;Student's T-test q-value  eat2_d15_N2_d15; Student's T-test Difference  eat2_d15_N2_d15;Student's T-test Test statistic  eat2_d15_N2_d15;Sign p-val: 0.05 
A0A0K3AWX1(378);21,5456;21,1286;21,0404;21,5365;20,8702;19,9484;17,7743;20,3774;1,18889;0,0452591;1,57024;2,25795;+
A0A0K3AVS5(10);21,6481;21,4494;20,6691;21,1544;19,427;20,3006;18,7168;18,6917;2,37522;0,00499789;1,94621;4,475;+
A0A0K3AW96(1148);22,5114;22,1148;20,7902;22,8784;21,8962;22,2889;22,2839;28,1374;0,452859;0,258066;-1,57786;-1,00772;
A0A0K3AW96(1306);20,7289;20,2022;21,8042;21,5686;18,9513;19,1075;21,3324;20,6168;0,768373;0,11776;1,07397;1,55706;
A0A0K3AW96(2799);26,7722;25,6859;27,8765;27,4224;24,1065;24,0419;22,2003;22,2459;2,73725;0,00348787;3,79061;5,29918;+
A0A0K3AW96(2725);26,696;23,4355;22,1419;22,4113;22,0646;22,4318;21,0279;24,6043;0,386518;0,308809;1,139;0,884112;
A0A0K3AWB0(580);25,8509;22,0571;22,9232;25,1645;25,6774;25,3331;25,09;26,0825;0,836749;0,101981;-1,54679;-1,67163;
A0A0K3AWB0(588);24,4604;24,1179;24,1296;24,6268;24,3862;23,1534;20,8381;20,9396;1,20345;0,0439931;2,00436;2,28236;+
A0A0K3AWM6(430);21,2875;19,9649;20,0605;20,9046;25,9493;25,6012;25,5754;23,1712;3,12918;0,00263687;-4,5199;-6,30454;+
A0A0K3AXE0(11);20,4498;21,3899;20,9074;19,486;21,0886;21,4999;20,7911;20,251;0,303645;0,38444;-0,349363;-0,722799;
A0A0K3AXT9(687);25,7905;26,8828;27,7092;25,4412;24,5488;24,5753;24,4112;25,4191;1,63564;0,0184355;1,71732;3,0286;+
A0A0K3AXT9(697);21,9727;20,2349;20,6954;21,0619;26,5519;23,7382;23,6251;26,7241;2,37762;0,00501379;-4,16862;-4,48018;+
A0A0K3AXT9(677);24,8458;27,2829;26,6816;26,9848;24,0563;23,932;20,6189;24,8547;1,52793;0,0231669;3,08332;2,83778;+
A0A0K3AXT9(683);24,4766;26,1682;26,4029;26,1487;26,2573;25,6321;28,665;26,7989;0,62568;0,167324;-1,03921;-1,31425;
A0A0K3AY44(449);25,3899;26,5551;26,9841;26,9997;19,5968;20,9882;20,0661;16,4617;3,32008;0,00239468;7,20401;6,84372;+
A0A0K3AY44(442);22,0035;20,5391;20,5605;20,4148;20,3783;19,1438;21,3597;19,1152;0,638629;0,162003;0,880244;1,33657;
A0A0K3AY85(173);24,5809;26,7236;25,768;26,3321;26,0559;26,5591;24,9241;25,4423;0,0640049;0,813594;0,105785;0,180145;
A0A0K3AY85(152);19,8134;20,591;20,7853;20,8305;23,5871;23,9683;25,3567;24,4127;3,84707;0,0011405;-3,82613;-8,53089;+
A0A0K3AYE8(172);19,5271;20,8876;21,2137;21,3042;24,4572;24,8878;25,6251;27,91;2,90657;0,00302603;-4,98685;-5,71779;+
A0A0M7RFG7(49);22,0768;20,8755;21,3311;21,0708;25,3281;26,0452;24,9236;26,9336;3,89473;0,00121053;-4,4691;-8,69954;+
A0A0S4XRR1(215);21,2132;21,1193;21,1607;21,0533;24,5958;24,8698;26,0051;27,4777;3,37615;0,00249639;-4,60049;-7,00887;+
A0A0T7CIX3(487);21,9368;18,5195;18,4005;21,0016;22,9383;22,0394;22,2281;23,7173;1,53905;0,0228348;-2,76615;-2,85731;+
A0A0T7CIX3(136);19,9278;21,4489;20,543;21,0004;19,4471;20,2607;17,7943;21,2995;0,602475;0,177331;1,02962;1,27407;
A0A0T7CIX3(543);21,146;20,5567;20,5375;20,7377;19,5696;19,6583;19,65;20,2479;2,41633;0,00474187;0,963025;4,56413;+
A0A131MBQ6(32);21,7223;18,9888;20,0508;21,2503;20,793;20,0731;19,8897;20,7316;0,0715144;0,795408;0,131209;0,199882;
A0A131MCJ5(53);20,2832;19,4886;19,8333;20,2595;19,6294;19,1603;19,5919;20,5718;0,265626;0,430385;0,227796;0,645527;
A0A131MD51(18);21,5559;21,5134;21,337;20,255;23,4268;22,3253;22,5068;23,375;2,21982;0,00680193;-1,7431;-4,14747;+
O16293(195);21,9782;18,3985;20,9695;21,0961;19,0945;21,2773;19,7128;19,6396;0,318789;0,368508;0,679513;0,752955;
O02147(540);21,4841;21,3722;20,0657;21,2176;21,308;20,1025;21,1362;21,2724;0,0654779;0,809226;0,080101;0,184037;
F3Y5Q3(84);23,8072;23,2767;21,9531;23,8411;21,9463;17,9953;20,3673;20,0127;1,83647;0,0134123;3,13911;3,39574;+
Q9N350(17);21,9322;24,0387;25,3652;24,8307;17,9309;19,3761;19,6897;21,1699;2,37657;0,00500847;4,50006;4,47791;+
Q9N350(179);24,381;27,1767;26,3585;26,0858;25,5189;23,3498;23,9741;25,3303;0,942718;0,0796638;1,45721;1,84804;
A0A1N7SYR3(844);21,6527;18,7842;20,7236;20,6829;19,2228;20,559;18,641;19,5258;0,643712;0,160664;0,973692;1,34532;
A1IMB7(151);20,1651;21,4032;20,405;20,527;19,5254;20,1955;21,6526;20,884;0,039697;0,88003;0,0606904;0,114407;
A3QMB7(63);20,7373;20,1265;19,4449;20,363;21,3972;18,4257;19,7594;20,2966;0,108585;0,706019;0,198195;0,29384;
J7SF86(65);21,6992;19,8334;20,528;19,015;20,7093;18,3312;19,9624;19,0831;0,433674;0,271973;0,74739;0,9724;
U4PRJ1(143);20,3424;21,1414;21,6776;21,4089;17,6405;20,0444;20,1618;19,7342;1,42233;0,028208;1,74733;2,65421;+
A5JYX4(101);25,0451;23,9429;23,8379;23,3846;19,3751;18,7574;18,2992;21,2439;3,12371;0,00262709;4,63371;6,2896;+
A5JYX4(81);25,7235;27,2136;26,6909;26,9276;26,0653;24,4665;24,5951;22,2333;1,44428;0,0269436;2,29886;2,6921;+
A5JYX4(77);21,1575;20,7076;21,5962;20,9997;19,6341;18,7559;17,1171;19,9607;1,83452;0,0133912;2,24832;3,39208;+
A5JYX4(130);22,7036;24,2487;23,7622;25,1969;20,3104;19,1644;20,2899;20,6981;3,11932;0,00261255;3,86214;6,27763;+
A5JYX4(131);22,7036;23,7003;24,2314;22,5855;19,9937;19,1796;18,7537;19,0696;3,8391;0,00112195;4,05609;8,50297;+
A5PEY0(153);23,403;24,0328;25,7259;23,9859;24,4365;24,4373;22,4575;22,6709;0,484549;0,236949;0,786342;1,06539;
I2HA81(362);21,0581;20,2849;19,3281;20,9725;26,4672;26,8578;25,2635;27,0423;4,38186;0,00185965;-5,99677;-10,5999;+
A5Z2W7(48);21,1554;22,6265;22,7661;22,033;19,471;19,3592;17,832;17,7603;2,99867;0,00272;3,53965;5,95533;+
A5Z2W7(56);24,0147;24,2679;25,58;22,7831;19,3769;19,325;21,6318;20,2849;2,64893;0,00365903;4,00674;5,08959;+
A6PVA5(9);21,8409;23,5633;24,0965;23,1731;20,6991;21,6252;19,4246;21,1426;1,95834;0,0109587;2,4456;3,62683;+
Q20621(425);23,8934;23,9373;24,0824;24,923;23,3649;21,8957;23,5654;23,609;1,22681;0,0413009;1,10026;2,32161;+
A7DT41(137);20,992;20,3824;19,657;21,681;20,5935;21,7645;19,3712;19,1424;0,252651;0,448385;0,460188;0,618597;
A7DT41(240);21,2066;20,6973;21,3437;21,2599;22,4544;21,8561;19,5834;24,9286;0,434362;0,271837;-1,07877;-0,973673;
A7DT41(165);20,9432;18,7387;21,3275;21,4523;17,7756;20,1566;18,4736;21,3917;0,518438;0,21864;1,16607;1,12624;
A7DT41(223);20,8964;19,8609;20,8022;19,31;19,091;17,5619;18,9025;20,811;0,713883;0,134774;1,1258;1,46507;
A7DT41(158);20,6043;20,8339;20,6146;21,1435;19,1749;18,4957;18,0406;18,3972;3,82596;0,00109524;2,27201;8,45712;+
A7DT41(262);20,8753;18,8561;21,3432;21,0917;20,5073;20,3168;21,9282;22,0797;0,399271;0,297403;-0,666438;-0,908211;
Q9XWW2(238);20,8231;21,5212;20,6574;21,6754;19,2066;20,0383;21,0622;20,329;1,15488;0,048467;1,01025;2,20102;+
Q9XWW2(276);21,3114;18,261;20,5507;20,9375;23,1948;24,4294;22,7508;22,6426;2,01786;0,00983868;-2,98928;-3,74224;+
A7LPD6(582);25,3577;24,5915;22,9995;24,3284;18,926;20,0805;18,5009;19,5047;3,82354;0,00108661;5,06625;8,44871;+
A7LPD6(545);25,6671;23,456;21,6948;23,5304;26,0879;24,9093;24,6182;25,1035;0,928367;0,0826945;-1,59262;-1,8242;
A7LPE6(329);23,2776;26,6366;26,8808;25,5553;20,3762;19,4208;20,2701;21,31;2,92788;0,00306832;5,24332;5,77213;+
Q5FC71(99);21,18;20,5198;20,3911;21,6162;24,7144;23,6264;24,8191;26,0258;3,30694;0,00235808;-3,86964;-6,80548;+
Q5FC71(87);20,7639;20,5807;21,0098;19,4139;24,6505;24,6861;24,9436;24,4827;4,60619;0,00202667;-4,24869;-11,5953;+
Q5FC71(50);21,8289;21,485;21,1998;21,5596;26,0837;25,0074;23,2823;23,3559;2,25169;0,0061378;-2,91398;-4,21347;+
Q5FC71(63);29,9646;29,1614;28,4394;27,7251;25,5513;25,8081;27,8173;23,9464;1,77276;0,0149108;3,04183;3,27752;+
Q5FC71(64);31,1305;32,3033;32,1706;23,7038;32,2679;33,0049;29,3953;29,1028;0,192082;0,538693;-1,11568;-0,488454;
Q5FC71(74);22,0454;21,1911;20,4814;21,1949;17,368;19,1597;20,3166;20,673;1,20352;0,0440184;1,84887;2,28249;+
A8WFH7(312);23,8858;24,9999;24,9737;23,5204;25,063;23,6007;22,0982;25,3421;0,144805;0,625335;0,318981;0,380806;
A8WFH7(313);20,907;20,2394;20,6324;21,4894;25,7008;24,2427;25,4262;25,9514;4,18819;0,001325;-4,51319;-9,80395;+
A8WFH7(322);21,2492;24,6939;25,122;25,553;24,6478;24,9616;23,6429;24,1458;0,067775;0,803926;-0,194996;-0,190086;
H2KYH9(63);21,2969;20,7897;20,8244;19,1231;19,3879;20,8717;19,7479;19,0681;0,559044;0,198542;0,739621;1,19816;
A8WHP8(79);23,1619;22,8317;22,1447;22,7106;24,0634;23,4967;23,0104;24,4816;1,46406;0,0259741;-1,0508;-2,72636;+
A8WHP8(57);21,4583;20,6505;21,4453;21,1883;17,1354;20,8986;20,093;20,5329;0,870961;0,093887;1,52061;1,72869;
A8WHP8(68);23,1303;22,6735;23,4692;21,9141;21,3205;20,2522;20,2152;19,3479;2,51465;0,00417633;2,51283;4,78175;+
A8WHP8(347);21,4823;19,5476;21,7658;21,1653;20,9376;20,4717;20,1587;20,062;0,498926;0,229221;0,582775;1,09131;
A8WHP8(348);21,9637;22,0137;22,2861;22,9176;24,5639;23,7705;23,2198;25,8315;1,82578;0,0134386;-2,05118;-3,37577;+
A8WHP8(181);21,7561;20,04;21,5093;19,5039;20,4907;19,6433;20,3711;19,3644;0,557067;0,199581;0,734962;1,19468;
A8WHP8(154);26,4881;21,3335;23,9101;25,2886;21,0831;19,973;19,809;20,0161;1,90485;0,011977;4,03477;3,52456;+
A8WHP8(295);21,0801;20,5858;21,0352;20,3379;23,7258;23,0494;24,1707;24,1196;4,12217;0,00123256;-3,00662;-9,5452;+
A8WHP8(297);22,5417;21,4511;22,0691;21,6776;20,4522;19,4025;21,5374;19,0613;1,61631;0,019381;1,82151;2,99406;+
A8WHP8(218);24,6815;23,962;26,0082;23,7266;21,5143;19,4221;18,579;17,8617;2,8482;0,00325404;5,25028;5,57091;+
A9UJN7(555);23,215;23,0289;23,0514;22,1979;23,5053;23,7493;23,0876;21,2754;0,0174363;0,946422;-0,0311155;-0,0514375;
A9UJN7(562);20,7697;21,3594;21,3015;19,535;19,2311;20,6968;18,6077;19,3129;1,09027;0,0566735;1,27927;2,09325;
A9UJP1(38);21,5906;21,499;20,7047;21,494;21,3933;19,4812;18,0198;17,034;1,28018;0,0371049;2,34002;2,4116;+
A9UJP1(71);20,2506;21,0321;20,7145;21,4523;19,2506;20,6364;20,4422;19,6897;1,08506;0,0574057;0,857663;2,08457;
A9UJP1(57);21,5028;21,5451;19,4138;19,8022;21,3871;21,2699;20,2688;21,9666;0,445634;0,262406;-0,657135;-0,994457;
A9UJP1(73);21,5209;19,799;21,7202;20,2947;25,6334;26,8699;24,638;23,9589;2,87757;0,00313303;-4,44134;-5,64447;+
A9Z1K9(338);22,0807;20,7789;20,4122;20,0691;21,5394;23,5686;23,0814;24,5124;1,66185;0,0177286;-2,34025;-3,07562;+
B0M0L8(154);22,2482;23,2929;23,418;22,296;25,3746;24,7047;25,5014;22,9531;1,46877;0,0258998;-1,81968;-2,73455;+
B0M0L8(179);25,0547;24,0391;23,9533;24,3759;24,8394;24,8236;23,7881;25,6991;0,411048;0,28779;-0,4318;-0,930313;
B0M0L8(35);21,3568;20,6489;21,7948;21,1252;21,5699;21,4254;18,283;17,4387;0,689147;0,143907;1,55218;1,42304;
B0M0L8(98);21,1448;18,6417;19,8242;20,6551;23,7064;23,9818;24,5245;24,5644;3,38613;0,00241565;-4,12785;-7,03862;+
B0M0N4(102);21,0359;20,9745;19,6175;20,3549;22,921;23,0128;23,1922;22,0914;2,86627;0,00319288;-2,30864;-5,61608;+
B0M0N4(3);20,7542;20,0336;20,038;18,9517;24,8491;24,2209;23,299;23,6631;3,71662;0,00112676;-4,06361;-8,08371;+
B0M0N4(88);21,7548;20,1904;21,3833;20,5938;20,8989;20,4911;20,9516;19,9531;0,424553;0,278248;0,406885;0,955493;
B2D6M4(494);27,6548;27,3311;27,584;27,434;25,0242;24,7169;22,3951;25,4842;2,37424;0,00499261;3,09588;4,4729;+
B2D6M4(499);20,8768;20,2682;20,2449;20,1922;20,3312;18,7969;18,3435;20,3708;0,859805;0,0964607;0,934937;1,7101;
B2D6P1(119);24,4981;23,0686;23,1787;23,9531;19,6455;19,1665;20,5828;19,0339;3,79608;0,00122605;4,06743;8,35364;+
B2D6P1(97);24,4506;20,9849;22,1507;22,6162;20,9456;18,1367;19,7739;19,7587;1,69684;0,0169694;2,89686;3,13881;+
B3CKG1(24);27,2999;25,661;25,3296;26,1432;25,5169;24,6765;24,299;25,4706;1,11077;0,0534981;1,11765;2,1274;
B3WFT8(10);22,0012;22,6959;22,1929;22,1263;18,8906;21,6798;19,3382;21,1018;1,56155;0,0218854;2,00153;2,89692;+
E1B6S9(25);24,249;23,6046;24,2913;24,2745;18,5055;19,5159;20,471;20,5876;3,82391;0,00109091;4,33481;8,44999;+
G5EC65(1032);22,0556;21,381;21,2617;21,2197;20,0137;18,961;20,0984;20,9006;1,81372;0,0136317;1,4861;3,35332;+
B3WFW7(70);21,101;20,6637;21,735;20,5653;21,6492;20,9017;20,363;19,6692;0,31541;0,372194;0,370473;0,746255;
B3WFY5(28);20,4862;20,2767;21,8412;21,2993;20,1471;19,9224;20,5159;20,0643;1,10355;0,0544682;0,813448;2,11537;
B3WFY5(29);24,8655;21,8924;26,0785;25,781;20,6087;19,3633;18,5213;19,5588;2,56953;0,00378287;5,14131;4,90603;+
B3WFY5(30);21,9788;21,8769;23,0364;22,7919;20,3188;20,6144;18,0508;19,5831;2,30662;0,00554286;2,77923;4,32863;+
B5BM23(908);21,4004;18,4321;21,0326;20,8444;24,6554;28,001;26,9035;24,9911;2,81083;0,00324138;-5,71037;-5,4783;+
B5U8N2(48);25,606;24,3541;24,7975;23,9565;20,9275;18,458;19,2809;19,8195;3,71165;0,00111111;5,05704;8,0671;+
B5U8N2(360);21,8163;18,9145;21,0268;20,94;18,5891;19,3945;18,1408;19,2951;1,41929;0,0283772;1,8195;2,64897;+
B5U8N2(491);22,7242;23,1932;23,5548;25,4057;20,2823;22,04;22,2431;20,3698;1,7046;0,0168808;2,48569;3,15289;+
B6VQ78(562);25,0628;26,0294;25,7148;26,3512;20,4379;21,6183;19,0797;21,4703;3,67259;0,00104575;5,13797;7,93741;+
B6VQ78(569);22,895;26,3524;26,1879;24,1823;20,8038;20,1511;20,7912;16,8367;2,22972;0,00643665;5,25865;4,16792;+
B6VQ78(172);21,0986;21,2985;21,5946;21,1327;24,3378;23,3053;24,5415;24,1716;4,11861;0,00122543;-2,80794;-9,53143;+
B6VQ78(176);19,8899;18,6924;20,4361;21,3514;19,6729;20,173;19,3842;21,3401;0,0243242;0,924998;-0,0500917;-0,071228;
D9PTN8(403);20,9566;18,7733;20,8016;21,1581;18,6103;21,5009;19,9923;20,8981;0,0735365;0,790814;0,17195;0,205153;
B7WN71(239);23,1489;25,845;24,9966;23,8267;21,3051;20,4612;21,3318;20,9079;2,7967;0,0032091;3,4528;5,44359;+
B7WN95(52);22,8597;21,9995;21,2783;20,3977;18,6339;18,9948;20,5597;19,0219;1,86329;0,0131014;2,33124;3,44601;+
B7WNA1(64);23,4342;26,3625;27,8663;27,7608;18,9649;19,6399;16,1957;20,7917;2,71586;0,00354847;7,45792;5,24789;+
B9ZSG9(872);21,9632;20,988;21,3919;20,4921;19,2492;21,4031;20,1159;21,6253;0,423387;0,278886;0,610453;0,953325;
C1P636(683);27,3936;22,2508;24,0562;23,2087;19,3069;20,02;20,2565;18,1938;2,12402;0,00818332;4,78302;3,95253;+
C1P636(727);21,5017;20,6155;20,9376;20,8148;19,9231;20,8242;19,1974;20,7405;0,951019;0,0785385;0,796086;1,86183;
C1P636(864);27,3016;27,091;26,9855;27,1379;29,0672;29,0811;26,665;28,3934;1,06336;0,0607609;-1,17269;-2,04846;
C1P636(741);20,7915;18,6303;21,4809;21,2311;24,2992;24,5216;22,8176;21,8888;1,70751;0,0168328;-2,84832;-3,15816;+
C1P636(104);21,5846;20,2994;20,0581;19,0028;23,1656;24,346;23,0557;21,3466;1,82224;0,0134497;-2,74223;-3,36917;+
C6KRI9(366);21,9266;19,3904;20,3025;21,3167;20,5404;19,9961;19,447;21,0194;0,311529;0,375864;0,483299;0,73854;
C6KRJ1(158);25,9445;23,7488;23,1183;23,9353;25,8227;24,1202;22,8888;23,3619;0,054882;0,839276;0,138312;0,155816;
C6KRJ1(190);20,6562;21,2023;20,4001;21,4084;20,4345;20,0403;21,2073;19,0621;0,705017;0,137315;0,730711;1,45003;
C6KRL2(4);22,8889;21,835;24,3561;22,8322;18,5006;18,7205;21,3008;19,9102;2,18469;0,00728477;3,37003;4,07538;+
C6KRL2(14);25,5941;21,7457;22,4191;22,735;23,4956;24,7054;24,6075;27,8132;0,803544;0,109266;-2,03198;-1,6161;
C6KRL2(18);21,2868;21,1702;20,1776;21,2708;19,3605;18,5214;20,1183;21,3487;0,873937;0,093312;1,1391;1,73365;
C6KRN1(3);21,2725;20,4811;20,8668;19,7007;20,1329;17,7984;19,8138;19,1514;1,15473;0,04844;1,3561;2,20077;+
C6KRN1(24);22,4722;21,5802;20,6416;21,6901;20,8556;18,1967;20,8979;20,3967;1,05484;0,0618032;1,5093;2,0343;
C7GIK1(69);23,2566;25,7555;25,0678;24,4368;23,5984;23,4143;23,2184;24,3659;0,834907;0,10237;0,979916;1,66855;
D0IMZ5(2153);20,9664;21,1219;21,2973;20,5326;19,2979;19,2886;19,6966;19,6906;3,51077;0,00161773;1,48611;7,41865;+
D0IMZ5(269);21,7955;19,2461;21,4775;21,4753;19,5925;16,6559;21,1961;19,1623;0,83275;0,102641;1,84689;1,66495;
D0PV95(599);22,0229;19,7411;21,0967;21,6996;18,8704;21,7591;20,52;18,4742;0,648163;0,159136;1,23415;1,35297;
D0Z5P0(53);21,4557;20,0335;20,3962;20,3614;20,5393;20,9306;21,6536;21,1374;0,619261;0,170421;-0,503557;-1,30316;
D0Z5P0(541);20,359;19,1344;21,2743;20,7016;20,1201;21,1421;19,0406;18,0569;0,429398;0,275199;0,777433;0,964483;
D0Z5P0(470);20,301;21,1824;21,586;21,3731;19,8864;19,7668;21,1806;16,021;0,82644;0,103959;1,89693;1,6544;
Q22832(234);21,7678;20,4897;21,5053;21,0149;24,0439;23,8433;25,3622;24,9494;3,47528;0,00189247;-3,35527;-7,30878;+
Q22832(235);21,2276;21,5547;20,6354;20,5055;19,7646;17,9543;20,127;21,2347;0,835881;0,102199;1,21064;1,67018;
Q22832(492);25,435;25,4003;25,6343;25,4797;25,3624;25,2572;25,1702;23,4636;0,724236;0,13161;0,673969;1,48261;
Q8WQB8(183);22,0855;20,489;19,631;21,2149;18,4305;20,9784;19,6773;20,6198;0,561185;0,197506;0,928624;1,20193;
D3NQB5(149);20,7621;21,519;19,6622;20,0074;23,4123;24,1932;22,8003;21,5;1,91283;0,0116472;-2,48879;-3,53973;+
D3YT77(49);19,7032;20,6854;20,0644;20,4718;19,3097;18,3441;18,0231;20,7098;0,894997;0,08893;1,1345;1,76871;
D3YT77(57);19,9694;20,6495;20,7197;20,3783;21,7809;22,3597;22,0871;25,3584;1,57189;0,0214092;-2,46729;-2,9152;+
D4YWC3(77);23,604;24,0338;23,7666;24,081;23,8583;21,5727;23,4534;24,4968;0,354894;0,335411;0,526047;0,823578;
D4YWC3(78);24,4575;22,9531;21,5042;23,3842;20,9687;18,2309;18,6762;20,0852;2,18531;0,00729167;3,58453;4,07665;+
D4YWC3(41);29,6367;25,1263;25,927;26,0358;21,6598;18,83;21,4326;19,1028;2,66429;0,00364479;6,42516;5,12562;+
D4YWC3(51);26,3752;24,0211;24,3202;23,3132;19,5009;19,2418;20,1568;19,9743;3,35202;0,0024093;4,78899;6,93743;+
D4YWC3(59);28,3872;26,1729;26,5648;25,0929;22,4403;21,7384;23,933;21,8328;2,5103;0,00423557;4,06833;4,77197;+
